titulo,autor,idioma,enlace
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (5763)","Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",143096 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/84
Simple Sabotage Field Manual by United States. Office of Strategic Services (2930),Simple Sabotage Field Manual by United States. Office of Strategic Services,304852 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/26184
"Moby Dick; Or, The Whale by Herman Melville (2821)","Moby Dick; Or, The Whale by Herman Melville",80112 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/2701
Romeo and Juliet by William Shakespeare (2279),Romeo and Juliet by William Shakespeare,69492 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/1513
Pride and Prejudice by Jane Austen (2020),Pride and Prejudice by Jane Austen,55992 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/1342
Alice's Adventures in Wonderland by Lewis Carroll (1973),Alice's Adventures in Wonderland by Lewis Carroll,54482 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/11
The Complete Works of William Shakespeare by William Shakespeare (1676),The Complete Works of William Shakespeare by William Shakespeare,49346 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/100
A Doll's House : a play by Henrik Ibsen (1656),A Doll's House : a play by Henrik Ibsen,40787 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/2542
The Great Gatsby by F. Scott  Fitzgerald (1645),The Great Gatsby by F. Scott Fitzgerald,41070 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/64317
Middlemarch by George Eliot (1621),Middlemarch by George Eliot,49447 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/145
A Room with a View by E. M.  Forster (1571),A Room with a View by E. M. Forster,47480 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/2641
"Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott (1557)","Little Women; Or, Meg, Jo, Beth, and Amy by Louisa May Alcott",46051 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/37106
The Picture of Dorian Gray by Oscar Wilde (1484),The Picture of Dorian Gray by Oscar Wilde,34567 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/174
The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde (1412),The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,30821 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/844
The Blue Castle: a novel by L. M.  Montgomery (1397),The Blue Castle: a novel by L. M. Montgomery,40921 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/67979
The Enchanted April by Elizabeth Von Arnim (1343),The Enchanted April by Elizabeth Von Arnim,40407 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/16389
A Modest Proposal by Jonathan Swift (1337),A Modest Proposal by Jonathan Swift,34245 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/1080
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (1281),The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,30643 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/43
The Yellow Wallpaper by Charlotte Perkins Gilman (1247),The Yellow Wallpaper by Charlotte Perkins Gilman,33746 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/1952
Cranford by Elizabeth Cleghorn Gaskell (1242),Cranford by Elizabeth Cleghorn Gaskell,37068 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/394
The Adventures of Ferdinand Count Fathom — Complete by T.  Smollett (1241),The Adventures of Ferdinand Count Fathom — Complete by T. Smollett,37028 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/6761
The Scarlet Letter by Nathaniel Hawthorne (1221),The Scarlet Letter by Nathaniel Hawthorne,30563 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/25344
The Expedition of Humphry Clinker by T.  Smollett (1218),The Expedition of Humphry Clinker by T. Smollett,36171 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/2160
Adventures of Huckleberry Finn by Mark Twain (1210),Adventures of Huckleberry Finn by Mark Twain,28927 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/76
"History of Tom Jones, a Foundling by Henry Fielding (1195)","History of Tom Jones, a Foundling by Henry Fielding",35969 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/6593
Twenty years after by Alexandre Dumas and Auguste Maquet (1180),Twenty years after by Alexandre Dumas and Auguste Maquet,35274 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/1259
The Adventures of Roderick Random by T.  Smollett (1176),The Adventures of Roderick Random by T. Smollett,35734 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/4085
My Life — Volume 1 by Richard Wagner (1168),My Life — Volume 1 by Richard Wagner,35519 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/5197
Dracula by Bram Stoker (1138),Dracula by Bram Stoker,31717 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/345
Crime and Punishment by Fyodor Dostoyevsky (1056),Crime and Punishment by Fyodor Dostoyevsky,30520 downloads in the last 30 days.,https://www.gutenberg.org/ebooks/2554
